,masked_MAE
0,3.5700228214263916
1,1.75301194190979
2,2.6765382289886475
3,3.863168716430664
4,5.465264797210693
5,6.305119514465332
6,3.396604537963867
7,1.7178798913955688
8,3.6456284523010254
9,4.661296367645264
10,3.691417932510376
11,1.8240433931350708
12,7.169505596160889
13,3.0951931476593018
14,5.607895851135254
15,5.466401100158691
16,1.874834418296814
17,4.28563928604126
18,2.393876552581787
19,2.76450777053833
20,3.9593112468719482
21,2.2913880348205566
22,3.3167452812194824
23,6.878488540649414
24,2.409208297729492
25,8.284140586853027
26,5.06839656829834
27,1.6705169677734375
28,2.6110589504241943
29,4.793060302734375
30,4.034232139587402
31,1.8038655519485474
32,3.4976508617401123
33,3.674128770828247
34,3.2412846088409424
35,2.298175096511841
36,3.3602161407470703
37,2.9979543685913086
38,7.515031814575195
39,2.7162222862243652
40,2.7756006717681885
41,4.523845195770264
42,3.6190569400787354
43,8.171377182006836
44,1.8754972219467163
45,1.8343037366867065
46,1.8605629205703735
47,5.835673809051514
48,5.318963050842285
49,3.821209669113159
50,2.3760900497436523
51,5.050799369812012
52,6.212637901306152
53,3.6335198879241943
54,3.498762369155884
55,1.6764492988586426
56,5.325883388519287
57,2.5123000144958496
58,3.9620554447174072
59,2.7479355335235596
60,6.013821125030518
61,9.743946075439453
62,6.18359375
63,6.501402378082275
64,3.0891220569610596
65,3.343038320541382
66,1.4304442405700684
67,2.3573124408721924
68,3.7163329124450684
69,6.291248798370361
70,2.8900527954101562
71,3.271482467651367
72,6.666165828704834
73,5.7481207847595215
74,2.415083408355713
75,5.716502666473389
76,6.3000664710998535
77,5.020636558532715
78,3.0875065326690674
79,2.6356189250946045
80,3.7615342140197754
81,6.040765285491943
82,8.2738618850708
83,2.9463515281677246
84,4.0353217124938965
85,2.5749289989471436
86,4.509171009063721
87,5.687722206115723
88,3.691897392272949
89,2.8944149017333984
90,1.561713457107544
91,4.277960777282715
92,1.340623378753662
93,3.330669403076172
94,2.5895965099334717
95,6.9843831062316895
96,4.844427585601807
97,2.8166725635528564
98,3.7523305416107178
99,1.6032838821411133
100,6.659296989440918
101,4.764925956726074
102,3.344306707382202
103,3.7733852863311768
104,3.4243805408477783
105,1.418458342552185
106,1.876781940460205
107,1.3432883024215698
108,1.987128496170044
109,3.1602320671081543
110,2.204319477081299
111,3.24253511428833
112,4.847488880157471
113,6.281639575958252
114,2.8491108417510986
115,3.491147041320801
116,4.510573387145996
117,4.682377815246582
118,1.9556585550308228
119,2.540626049041748
120,7.087983131408691
121,2.5442614555358887
122,3.3301806449890137
123,1.7984132766723633
124,5.390191555023193
125,7.861259937286377
126,4.6102824211120605
127,11.992010116577148
128,3.216564655303955
129,3.4227147102355957
130,7.073275089263916
131,5.410745620727539
132,2.3215785026550293
133,4.329782962799072
134,6.175406455993652
135,2.6780123710632324
136,3.5946907997131348
137,6.193098068237305
138,3.152010679244995
139,7.887998580932617
140,6.720546245574951
141,5.758570194244385
142,3.5456840991973877
143,3.3416502475738525
144,5.4690327644348145
145,3.3219733238220215
146,5.5067219734191895
147,2.9358744621276855
148,6.307500839233398
149,3.639254331588745
150,6.038681983947754
151,4.212085247039795
152,2.0656518936157227
153,2.235691547393799
154,3.154740571975708
155,12.378484725952148
156,2.174967050552368
157,3.6850171089172363
158,6.517772674560547
159,11.59848690032959
160,9.810275077819824
161,3.284909725189209
162,3.5809762477874756
163,11.438385963439941
164,6.205032825469971
165,6.6816020011901855
166,3.9985570907592773
167,1.8955663442611694
168,2.952117443084717
169,2.4422905445098877
170,4.795083999633789
171,1.7269008159637451
172,5.633008003234863
173,1.6428613662719727
174,7.086232662200928
175,4.167134761810303
176,3.0686936378479004
177,1.7305388450622559
178,2.090357780456543
179,2.7270514965057373
180,4.458571434020996
181,3.9032540321350098
182,2.747570037841797
183,1.1995710134506226
184,1.913960337638855
185,3.733888626098633
186,3.284881114959717
187,8.891260147094727
188,3.9188435077667236
189,2.032132863998413
190,5.574134826660156
191,5.923055648803711
192,4.336935520172119
193,6.0222249031066895
194,4.349852561950684
195,4.596005439758301
196,2.1512882709503174
197,3.95524525642395
198,3.0925891399383545
199,5.2718658447265625
200,1.970894694328308
201,2.265000343322754
202,1.9028640985488892
203,1.615659236907959
204,3.6461849212646484
205,4.412011623382568
206,9.803150177001953
average,4.1603263869953615
